doi,bioActivity,collectionSpecie,collectionSite,collectionType,molType,molecularMass,monoisotropicMass,cLogP,tpsa,numberOfLipinskiViolations,numberOfH_bondAcceptors,numberOfH_bondDonors,numberOfRotableBonds,molecularVolume,smile,name
10.1016/j.biortech.2010.01.041,Inhibition of Protease,Piper crassinervium (Piperaceae),Araraquara/SP,Biotransformation Product,http://nubbe.db/AromaticDerivative,"290,354187","290,1517944","4,660999775","66,76100159",0.0,4.0,2.0,7.0,"282,9689941",O=C(OC/C=C(C)/CC/C=C(C)/C)C1=CC(O)=C(O)C=C1,"3,4-dihydroxybenzoic acid geranyl ester"
10.1016/j.biortech.2010.01.041,Inhibition of Protease,Piper crassinervium (Piperaceae),Araraquara/SP,Biotransformation Product,http://nubbe.db/ChemicalCompound,"290,354187","290,1517944","4,660999775","66,76100159",0.0,4.0,2.0,7.0,"282,9689941",O=C(OC/C=C(C)/CC/C=C(C)/C)C1=CC(O)=C(O)C=C1,"3,4-dihydroxybenzoic acid geranyl ester"
10.1016/j.biortech.2010.01.041,Inhibition of Protease,Piper crassinervium (Piperaceae),Araraquara/SP,Biotransformation Product,http://nubbe.db/ChemicalSubstance,"290,354187","290,1517944","4,660999775","66,76100159",0.0,4.0,2.0,7.0,"282,9689941",O=C(OC/C=C(C)/CC/C=C(C)/C)C1=CC(O)=C(O)C=C1,"3,4-dihydroxybenzoic acid geranyl ester"
10.1016/j.biortech.2010.01.041,Antiviral,Piper crassinervium (Piperaceae),Araraquara/SP,Biotransformation Product,http://nubbe.db/AromaticDerivative,"290,354187","290,1517944","4,660999775","66,76100159",0.0,4.0,2.0,7.0,"282,9689941",O=C(OC/C=C(C)/CC/C=C(C)/C)C1=CC(O)=C(O)C=C1,"3,4-dihydroxybenzoic acid geranyl ester"
10.1016/j.biortech.2010.01.041,Antiviral,Piper crassinervium (Piperaceae),Araraquara/SP,Biotransformation Product,http://nubbe.db/ChemicalCompound,"290,354187","290,1517944","4,660999775","66,76100159",0.0,4.0,2.0,7.0,"282,9689941",O=C(OC/C=C(C)/CC/C=C(C)/C)C1=CC(O)=C(O)C=C1,"3,4-dihydroxybenzoic acid geranyl ester"
10.1016/j.biortech.2010.01.041,Antiviral,Piper crassinervium (Piperaceae),Araraquara/SP,Biotransformation Product,http://nubbe.db/ChemicalSubstance,"290,354187","290,1517944","4,660999775","66,76100159",0.0,4.0,2.0,7.0,"282,9689941",O=C(OC/C=C(C)/CC/C=C(C)/C)C1=CC(O)=C(O)C=C1,"3,4-dihydroxybenzoic acid geranyl ester"
10.1016/j.biortech.2010.01.041,,,,,,,,,,,,,,,,
10.1016/j.biortech.2010.01.041,Inhibition of Protease,Piper crassinervium (Piperaceae),Araraquara/SP,Biotransformation Product,http://nubbe.db/AromaticDerivative,"274,3547974","274,1568909","5,150000095","46,53300095",1.0,3.0,1.0,7.0,"274,9519958",OC1=CC=C(C(OC/C=C(C)/CC/C=C(C)/C)=O)C=C1,p-hydroxybenzoic acid-geranyl ester
10.1016/j.biortech.2010.01.041,Inhibition of Protease,Piper crassinervium (Piperaceae),Araraquara/SP,Biotransformation Product,http://nubbe.db/ChemicalCompound,"274,3547974","274,1568909","5,150000095","46,53300095",1.0,3.0,1.0,7.0,"274,9519958",OC1=CC=C(C(OC/C=C(C)/CC/C=C(C)/C)=O)C=C1,p-hydroxybenzoic acid-geranyl ester
10.1016/j.biortech.2010.01.041,Inhibition of Protease,Piper crassinervium (Piperaceae),Araraquara/SP,Biotransformation Product,http://nubbe.db/ChemicalSubstance,"274,3547974","274,1568909","5,150000095","46,53300095",1.0,3.0,1.0,7.0,"274,9519958",OC1=CC=C(C(OC/C=C(C)/CC/C=C(C)/C)=O)C=C1,p-hydroxybenzoic acid-geranyl ester
